comment_id,Sub1_Toxic,Sub2_Engaging,Sub3_FactClaiming
3245,1,1,0
3246,0,1,1
3247,0,1,1
3248,1,0,0
3249,1,0,0
3250,1,0,0
3251,0,0,1
3252,0,0,0
3253,0,0,0
3254,0,1,1
3255,0,0,1
3256,0,0,1
3257,0,0,0
3258,1,1,0
3259,0,0,1
3260,0,0,0
3261,0,0,0
3262,0,0,0
3263,1,1,1
3264,0,0,0
3265,0,0,0
3266,1,0,0
3267,0,0,0
3268,0,0,0
3269,1,1,0
3270,0,1,1
3271,0,0,1
3272,0,1,0
3273,1,0,0
3274,0,0,0
3275,0,0,0
3276,0,0,0
3277,1,0,0
3278,0,1,1
3279,0,0,0
3280,0,1,1
3281,1,0,0
3282,0,0,0
3283,1,0,0
3284,0,0,1
3285,1,0,0
3286,1,1,0
3287,1,1,1
3288,0,1,1
3289,0,0,0
3290,0,0,1
3291,0,0,0
3292,0,0,0
3293,1,0,0
3294,1,1,0
3295,0,1,1
3296,1,0,0
3297,0,0,1
3298,0,0,0
3299,0,0,0
3300,0,1,0
3301,0,0,0
3302,1,1,1
3303,0,0,0
3304,0,1,1
3305,0,0,0
3306,0,0,0
3307,0,1,1
3308,0,0,0
3309,0,0,0
3310,0,0,1
3311,0,0,0
3312,0,1,0
3313,0,0,1
3314,1,0,0
3315,0,0,1
3316,0,0,1
3317,0,0,1
3318,0,0,0
3319,1,0,0
3320,1,0,1
3321,0,0,0
3322,0,0,0
3323,1,1,0
3324,0,1,0
3325,1,1,0
3326,0,1,0
3327,0,0,1
3328,0,0,1
3329,1,0,0
3330,1,1,1
3331,0,1,1
3332,0,0,0
3333,1,1,1
3334,0,0,0
3335,1,1,0
3336,0,1,1
3337,0,0,0
3338,1,0,0
3339,0,0,0
3340,0,0,1
3341,1,0,0
3342,0,1,1
3343,0,1,0
3344,0,0,1
3345,0,0,0
3346,0,0,0
3347,1,0,0
3348,0,0,1
3349,0,0,0
3350,0,1,1
3351,1,0,0
3352,1,0,1
3353,0,1,0
3354,0,0,0
3355,1,0,0
3356,0,0,1
3357,0,0,0
3358,0,0,1
3359,1,0,0
3360,1,0,0
3361,1,0,0
3362,0,1,0
3363,1,0,0
3364,0,0,0
3365,0,1,1
3366,1,0,0
3367,0,0,0
3368,0,1,1
3369,1,1,1
3370,1,0,0
3371,0,1,0
3372,1,0,0
3373,0,0,0
3374,0,1,0
3375,0,0,0
3376,1,0,0
3377,1,0,0
3378,0,0,0
3379,0,0,1
3380,0,0,0
3381,0,0,0
3382,1,0,0
3383,0,0,1
3384,1,0,0
3385,0,0,0
3386,1,0,0
3387,0,0,0
3388,0,0,1
3389,0,0,0
3390,0,0,1
3391,0,0,1
3392,0,1,1
3393,0,0,0
3394,0,1,1
3395,1,0,0
3396,0,0,0
3397,0,0,1
3398,0,0,1
3399,0,0,0
3400,0,1,0
3401,1,0,0
3402,0,0,0
3403,0,0,0
3404,1,0,0
3405,0,0,1
3406,0,0,1
3407,0,0,0
3408,0,0,0
3409,0,1,1
3410,1,0,0
3411,0,1,0
3412,1,1,1
3413,1,0,0
3414,1,0,0
3415,0,0,0
3416,0,0,0
3417,0,0,0
3418,0,0,0
3419,0,0,0
3420,0,0,0
3421,1,0,1
3422,0,0,0
3423,0,0,1
3424,1,0,0
3425,1,0,0
3426,1,1,0
3427,1,0,0
3428,1,1,1
3429,1,0,1
3430,0,1,0
3431,0,0,0
3432,0,0,0
3433,1,1,1
3434,1,0,0
3435,1,0,1
3436,0,0,0
3437,0,0,0
3438,0,0,0
3439,1,0,0
3440,1,1,1
3441,0,0,1
3442,0,0,0
3443,1,0,0
3444,0,0,0
3445,0,0,0
3446,0,0,0
3447,1,0,0
3448,1,0,0
3449,1,0,1
3450,1,0,0
3451,0,0,0
3452,0,1,1
3453,0,0,1
3454,0,0,1
3455,0,0,1
3456,0,0,0
3457,0,0,0
3458,0,0,0
3459,0,0,0
3460,1,1,1
3461,0,0,1
3462,0,0,0
3463,1,0,0
3464,1,0,0
3465,0,0,0
3466,1,1,1
3467,0,0,0
3468,1,0,1
3469,1,0,0
3470,1,1,1
3471,1,1,1
3472,0,0,0
3473,0,0,0
3474,0,1,1
3475,0,0,0
3476,0,0,0
3477,0,0,0
3478,0,0,1
3479,0,1,0
3480,0,1,0
3481,0,1,1
3482,0,0,0
3483,0,0,0
3484,1,0,0
3485,0,0,0
3486,1,0,0
3487,1,0,0
3488,0,0,1
3489,0,0,0
3490,0,0,0
3491,1,0,1
3492,0,0,0
3493,1,0,0
3494,0,0,0
3495,1,1,0
3496,0,1,0
3497,1,0,1
3498,0,0,0
3499,0,1,1
3500,0,0,1
3501,0,0,0
3502,0,1,0
3503,0,1,0
3504,0,1,1
3505,1,0,0
3506,1,1,1
3507,0,1,0
3508,0,0,0
3509,1,0,0
3510,0,0,1
3511,0,1,1
3512,1,0,0
3513,0,0,0
3514,0,0,1
3515,1,0,0
3516,1,0,0
3517,0,1,1
3518,1,1,1
3519,1,0,0
3520,1,0,1
3521,0,1,1
3522,0,0,1
3523,0,0,0
3524,1,1,1
3525,0,0,0
3526,0,0,0
3527,1,0,0
3528,0,0,1
3529,0,1,1
3530,0,0,1
3531,0,0,1
3532,0,0,0
3533,1,0,1
3534,0,1,1
3535,0,0,0
3536,0,0,1
3537,0,1,0
3538,0,1,1
3539,0,1,0
3540,0,0,1
3541,1,0,1
3542,0,0,1
3543,0,1,0
3544,0,0,0
3545,1,1,0
3546,0,0,1
3547,1,0,1
3548,0,1,1
3549,0,0,0
3550,1,0,0
3551,0,1,0
3552,0,1,1
3553,0,1,1
3554,0,1,1
3555,0,0,0
3556,1,1,0
3557,0,1,1
3558,0,0,0
3559,1,1,1
3560,1,0,0
3561,0,0,0
3562,0,1,1
3563,0,0,0
3564,1,0,0
3565,1,0,0
3566,1,1,1
3567,1,0,0
3568,0,0,1
3569,0,1,1
3570,0,0,0
3571,1,0,0
3572,0,0,0
3573,0,0,0
3574,0,1,0
3575,1,0,0
3576,0,0,0
3577,1,0,0
3578,0,0,0
3579,0,0,0
3580,0,0,0
3581,0,0,0
3582,0,0,0
3583,1,0,0
3584,0,0,1
3585,1,0,0
3586,1,0,0
3587,0,0,1
3588,1,0,0
3589,0,0,0
3590,1,1,0
3591,0,1,0
3592,1,0,1
3593,0,0,1
3594,1,0,1
3595,1,1,0
3596,1,0,0
3597,1,0,0
3598,1,0,1
3599,0,0,1
3600,0,0,0
3601,0,0,1
3602,0,1,1
3603,1,1,0
3604,0,1,1
3605,1,1,1
3606,1,0,1
3607,0,0,1
3608,0,0,0
3609,0,1,0
3610,0,0,1
3611,0,1,0
3612,0,0,1
3613,0,0,0
3614,0,0,0
3615,0,0,1
3616,1,0,1
3617,0,0,0
3618,0,0,0
3619,1,0,0
3620,0,1,1
3621,0,1,0
3622,0,0,1
3623,0,0,1
3624,0,0,0
3625,0,1,1
3626,1,0,0
3627,1,1,0
3628,0,0,1
3629,0,1,0
3630,1,0,0
3631,0,0,0
3632,1,0,0
3633,0,1,0
3634,0,0,1
3635,0,1,1
3636,0,1,1
3637,1,1,0
3638,1,0,0
3639,1,1,0
3640,0,0,0
3641,0,0,1
3642,0,0,0
3643,0,0,0
3644,0,0,0
3645,1,0,0
3646,0,0,0
3647,0,0,1
3648,0,1,1
3649,1,0,0
3650,1,1,0
3651,0,0,0
3652,1,0,0
3653,0,0,0
3654,1,1,0
3655,1,0,1
3656,1,1,1
3657,0,0,0
3658,0,0,0
3659,0,0,1
3660,0,1,0
3661,1,0,0
3662,0,0,1
3663,0,0,1
3664,0,1,0
3665,0,1,0
3666,1,0,0
3667,1,0,0
3668,1,1,0
3669,0,1,1
3670,0,0,0
3671,0,0,0
3672,0,0,0
3673,0,1,1
3674,0,1,0
3675,0,1,0
3676,0,0,1
3677,1,0,0
3678,0,0,0
3679,0,0,0
3680,1,0,0
3681,0,0,1
3682,0,0,0
3683,0,0,0
3684,1,0,0
3685,0,0,0
3686,0,1,0
3687,1,0,1
3688,0,0,0
3689,1,0,1
3690,1,0,1
3691,0,0,1
3692,1,1,1
3693,1,0,0
3694,0,0,0
3695,1,1,1
3696,1,0,0
3697,0,1,1
3698,0,0,1
3699,1,0,0
3700,0,0,0
3701,0,0,0
3702,0,0,0
3703,1,0,1
3704,1,0,0
3705,0,0,0
3706,0,0,0
3707,0,0,0
3708,1,1,1
3709,0,0,0
3710,0,1,0
3711,1,0,0
3712,1,0,1
3713,1,0,0
3714,0,0,0
3715,0,1,0
3716,1,0,1
3717,0,0,0
3718,1,0,0
3719,1,0,0
3720,0,1,1
3721,1,1,1
3722,0,0,0
3723,0,0,0
3724,1,0,0
3725,0,1,1
3726,0,0,0
3727,1,0,0
3728,1,0,0
3729,1,0,1
3730,0,0,1
3731,0,1,1
3732,0,0,1
3733,1,0,0
3734,1,0,0
3735,1,1,0
3736,1,1,1
3737,0,0,0
3738,0,1,1
3739,1,0,0
3740,1,0,0
3741,0,0,0
3742,1,0,0
3743,0,1,1
3744,1,0,1
3745,1,0,0
3746,0,0,0
3747,0,0,1
3748,0,0,0
3749,1,0,0
3750,1,0,1
3751,0,0,0
3752,1,0,0
3753,0,1,0
3754,0,1,1
3755,0,1,1
3756,1,0,0
3757,1,0,0
3758,0,0,0
3759,0,0,0
3760,0,0,0
3761,1,0,1
3762,1,1,0
3763,0,0,0
3764,0,1,1
3765,0,1,1
3766,0,0,0
3767,0,1,0
3768,1,0,0
3769,0,0,0
3770,0,0,1
3771,0,0,1
3772,1,0,0
3773,1,1,0
3774,0,1,1
3775,0,0,1
3776,0,0,0
3777,1,0,0
3778,0,0,0
3779,0,0,0
3780,1,0,1
3781,0,0,0
3782,0,0,0
3783,0,0,1
3784,0,1,1
3785,0,1,0
3786,1,0,0
3787,0,0,1
3788,0,0,0
3789,0,0,1
3790,1,0,1
3791,0,1,0
3792,1,0,0
3793,1,1,0
3794,0,0,0
3795,1,0,0
3796,1,0,0
3797,0,0,0
3798,1,0,0
3799,1,0,0
3800,1,0,0
3801,1,0,1
3802,0,0,0
3803,1,0,0
3804,0,0,0
3805,0,1,0
3806,1,0,0
3807,0,0,0
3808,0,0,0
3809,0,0,1
3810,1,0,0
3811,1,0,0
3812,0,1,0
3813,1,0,0
3814,0,1,0
3815,1,0,0
3816,0,0,0
3817,1,0,0
3818,1,1,0
3819,1,1,0
3820,0,1,1
3821,0,0,0
3822,0,0,0
3823,1,0,1
3824,0,1,1
3825,0,0,0
3826,0,0,0
3827,0,0,0
3828,1,0,1
3829,0,0,1
3830,1,0,0
3831,0,0,0
3832,0,0,0
3833,0,0,0
3834,1,0,1
3835,1,0,1
3836,0,0,1
3837,0,0,0
3838,0,0,1
3839,1,1,1
3840,1,0,0
3841,1,0,1
3842,1,0,0
3843,0,0,1
3844,0,0,0
3845,1,1,0
3846,0,0,1
3847,1,0,1
3848,0,1,0
3849,1,0,0
3850,0,1,1
3851,1,0,0
3852,0,0,0
3853,0,0,0
3854,0,0,0
3855,0,0,0
3856,0,0,1
3857,0,1,1
3858,0,0,0
3859,0,1,0
3860,1,1,1
3861,0,0,0
3862,0,1,0
3863,1,0,0
3864,0,1,1
3865,0,0,0
3866,1,0,0
3867,0,0,0
3868,0,1,0
3869,0,0,0
3870,0,0,0
3871,1,1,0
3872,0,1,1
3873,0,1,1
3874,1,0,0
3875,1,0,0
3876,0,0,1
3877,0,1,1
3878,0,0,0
3879,0,0,0
3880,0,0,1
3881,1,0,0
3882,0,0,0
3883,0,1,1
3884,1,0,0
3885,0,0,1
3886,0,0,0
3887,0,0,0
3888,0,1,1
3889,0,1,0
3890,0,0,0
3891,0,0,0
3892,1,1,0
3893,1,0,1
3894,0,0,0
3895,0,1,0
3896,1,1,0
3897,0,0,0
3898,0,1,0
3899,1,0,1
3900,0,0,0
3901,1,0,0
3902,0,0,0
3903,1,0,0
3904,1,0,0
3905,0,0,0
3906,1,0,0
3907,0,0,0
3908,1,0,0
3909,1,0,0
3910,0,0,0
3911,1,1,1
3912,0,0,0
3913,1,1,1
3914,1,0,1
3915,1,0,0
3916,0,0,0
3917,1,0,0
3918,1,0,0
3919,0,0,1
3920,0,0,0
3921,1,0,0
3922,0,0,0
3923,0,0,0
3924,0,1,0
3925,1,0,0
3926,0,1,1
3927,0,1,1
3928,0,0,0
3929,0,0,1
3930,0,1,0
3931,1,0,0
3932,0,0,0
3933,0,0,0
3934,0,0,0
3935,1,0,0
3936,0,0,1
3937,0,0,0
3938,0,0,1
3939,1,0,0
3940,0,1,1
3941,1,1,0
3942,0,0,0
3943,0,0,0
3944,1,0,0
3945,1,0,0
3946,1,0,0
3947,0,0,0
3948,0,1,1
3949,0,1,1
3950,0,0,0
3951,0,0,0
3952,1,0,1
3953,0,0,0
3954,1,1,0
3955,0,0,0
3956,0,0,1
3957,1,0,0
3958,0,0,1
3959,1,0,0
3960,0,0,0
3961,0,0,0
3962,0,0,0
3963,0,1,1
3964,0,0,1
3965,1,0,1
3966,1,0,1
3967,0,0,0
3968,1,1,1
3969,0,0,0
3970,0,1,1
3971,0,0,1
3972,0,1,0
3973,1,0,0
3974,0,1,1
3975,1,0,0
3976,0,0,1
3977,0,0,0
3978,0,1,1
3979,1,0,1
3980,1,1,0
3981,1,1,0
3982,0,0,0
3983,0,1,1
3984,0,0,0
3985,1,0,1
3986,1,1,0
3987,0,0,1
3988,1,1,0
3989,0,0,1
3990,0,0,1
3991,0,1,0
3992,1,0,0
3993,0,0,0
3994,0,0,0
3995,0,1,0
3996,1,0,0
3997,0,0,1
3998,1,0,0
3999,1,0,0
4000,1,0,1
4001,1,0,1
4002,0,0,0
4003,0,0,0
4004,1,0,1
4005,1,0,0
4006,0,1,0
4007,0,0,0
4008,0,0,0
4009,1,0,0
4010,0,0,0
4011,0,1,1
4012,0,0,0
4013,0,0,0
4014,0,0,0
4015,1,0,0
4016,0,0,0
4017,0,0,0
4018,1,0,0
4019,0,0,0
4020,0,0,0
4021,0,0,1
4022,1,0,0
4023,0,0,0
4024,1,1,1
4025,0,1,1
4026,1,1,1
4027,1,0,1
4028,0,0,0
4029,1,0,0
4030,0,0,0
4031,0,1,0
4032,0,0,1
4033,0,0,0
4034,0,0,1
4035,1,1,1
4036,0,0,0
4037,1,1,0
4038,0,0,0
4039,1,1,0
4040,1,1,1
4041,0,0,1
4042,1,0,0
4043,0,1,0
4044,0,0,0
4045,1,0,1
4046,1,0,0
4047,1,0,0
4048,0,0,1
4049,0,1,1
4050,1,0,0
4051,1,1,1
4052,1,0,1
4053,0,1,0
4054,0,0,0
4055,0,1,1
4056,1,0,0
4057,1,0,0
4058,0,1,0
4059,1,0,0
4060,1,0,0
4061,0,0,0
4062,0,1,1
4063,0,0,0
4064,1,0,0
4065,1,0,0
4066,1,1,1
4067,1,1,1
4068,0,1,1
4069,0,0,0
4070,1,0,0
4071,0,0,1
4072,1,1,0
4073,0,0,0
4074,0,1,1
4075,0,1,0
4076,1,0,0
4077,0,1,1
4078,0,0,0
4079,1,1,0
4080,1,0,0
4081,0,1,0
4082,1,0,0
4083,0,0,0
4084,0,0,0
4085,0,1,1
4086,1,0,1
4087,0,0,0
4088,0,0,1
4089,0,0,0
4090,0,0,0
4091,0,1,0
4092,0,1,0
4093,1,0,0
4094,0,0,0
4095,0,0,1
4096,1,1,0
4097,1,0,0
4098,1,0,0
4099,0,0,0
4100,1,1,0
4101,0,0,0
4102,0,1,1
4103,1,0,0
4104,1,0,0
4105,0,1,1
4106,0,0,0
4107,1,1,1
4108,0,0,0
4109,0,1,1
4110,0,0,0
4111,0,0,0
4112,1,1,0
4113,0,0,1
4114,0,0,0
4115,0,0,0
4116,1,0,0
4117,1,0,1
4118,1,1,0
4119,0,0,1
4120,1,0,0
4121,0,1,1
4122,0,0,0
4123,0,0,0
4124,1,0,1
4125,0,0,0
4126,0,1,0
4127,0,0,0
4128,0,0,0
4129,0,0,0
4130,0,1,0
4131,0,0,1
4132,0,0,0
4133,0,0,0
4134,0,0,0
4135,1,0,1
4136,0,0,1
4137,0,0,1
4138,0,0,0
4139,0,0,0
4140,0,0,0
4141,1,0,0
4142,0,1,1
4143,1,1,1
4144,0,0,1
4145,0,1,0
4146,0,0,0
4147,0,0,0
4148,1,0,0
4149,0,0,0
4150,0,1,0
4151,0,0,0
4152,0,0,1
4153,0,0,1
4154,1,0,0
4155,1,1,0
4156,1,0,0
4157,1,0,1
4158,1,0,0
4159,0,0,0
4160,0,0,0
4161,1,0,0
4162,0,1,1
4163,1,1,0
4164,1,0,0
4165,1,0,0
4166,1,1,0
4167,1,0,0
4168,0,0,0
4169,1,0,0
4170,1,1,1
4171,0,0,0
4172,0,0,0
4173,0,0,0
4174,0,0,0
4175,0,0,0
4176,0,0,0
4177,0,0,0
4178,1,1,1
4179,1,0,1
4180,1,0,0
4181,0,0,1
4182,0,0,0
4183,1,0,0
4184,0,0,0
4185,0,0,0
4186,0,0,0
4187,1,0,0
4188,0,0,1
